station name,station latitude,station longitude,use_count
E 75 St & 3 Ave,40.77112926999943,-73.95772297003505,28661
E 76 St & 3 Ave,40.77224853773622,-73.95842134952545,19338
E 76 St & Park Ave,40.77376300001298,-73.96222087998142,27413
E 77 St & 3 Ave,40.773142360003774,-73.95856157999181,6227
E 78 St & 2 Ave,40.77279660000661,-73.95577800996959,26001
E 80 St & 2 Ave,40.77391390238179,-73.9543953537941,1432
E 81 St & 2 Ave,40.77477944897569,-73.95427465438844,21749
E 81 St & 3 Ave,40.775730340024374,-73.95675259998637,32498
E 81 St & Park Ave,40.776777020003784,-73.95900969999109,12215
E 81 St & York Ave,40.77283839998367,-73.94989232998617,28613
E 82 St & East End Ave,40.77246070001078,-73.94682079997405,23477
E 84 St & 1 Ave,40.775655410016014,-73.95068615006896,40872
E 84 St & Park Ave,40.77862688000615,-73.9577207299889,29212
E 85 St & 3 Ave,40.77801202995912,-73.95407149007289,73430
E 85 St & York Ave,40.77536904998643,-73.94803392002021,28745
E 87 St & 3 Ave,40.77940608530096,-73.95333588123322,3040
E 88 St & 1 Ave,40.778301000011176,-73.94881339999849,25048
E 88 St & Park Ave,40.78141070017807,-73.95595908164978,21651
E 89 St & 3 Ave,40.78062840000811,-73.95216670001976,18873
E 89 St & York Ave,40.777945299991195,-73.94604099999192,15733
E 9 St & Avenue C,40.72521310998325,-73.97768751997631,75374
E 91 St & 2 Ave,40.78112229936457,-73.94965589046478,46513
E 91 St & Park Ave,40.7835016000075,-73.95532700000324,23246
E 93 St & 2 Ave,40.78245417529041,-73.94891962409021,21195
E 95 St & 3 Ave,40.784903199998766,-73.95050300000001,2334
E 97 St & 3 Ave,40.78592009999653,-73.94860293999751,9293
E 97 St & Madison Ave,40.787801000034065,-73.95355900003328,32898
E 98 St & Lexington Ave,40.78728519860999,-73.95012259483337,536
E 98 St & Park Ave,40.788130000000784,-73.95205999999335,6897
East End Ave & E 86 St,40.77518614998837,-73.94446053999832,16466
Eastern Pkwy & Franklin Ave,40.67077670001296,-73.95768010004409,25163
Eastern Pkwy & Washington Ave,40.67164930001655,-73.96311450002275,16860
Eckford St & Engert Ave,40.72146256228814,-73.94800901412964,11638
Emerson Pl & Myrtle Ave,40.693631370000666,-73.96223557997773,28482
FDR Drive & E 35 St,40.74421899998616,-73.97121214004606,84761
Flushing Ave & Vanderbilt Ave,40.69795031568432,-73.97077560424805,25310
